Date,Beras,Daging Ayam,Daging Sapi,Telur Ayam,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Minyak Goreng,Gula Pasir
2016-12-08,11200.0,31650.0,113600.0,21800.0,41100.0,38900.0,49950.0,47100.0,13750.0,15400.0
2016-12-09,11200.0,31700.0,113450.0,21900.0,40900.0,38950.0,49850.0,47450.0,13750.0,15400.0
2016-12-10,11200.0,31700.0,113450.0,21900.0,40900.0,38950.0,49850.0,47450.0,13750.0,15400.0
2016-12-11,11200.0,31700.0,113450.0,21900.0,40900.0,38950.0,49850.0,47450.0,13750.0,15400.0
2016-12-12,11200.0,31700.0,113450.0,21900.0,40900.0,38950.0,49850.0,47450.0,13750.0,15400.0
2016-12-13,11200.0,32250.0,113400.0,22350.0,41150.0,38850.0,48200.0,49800.0,13900.0,15400.0
2016-12-14,11250.0,32350.0,113350.0,22500.0,40700.0,38750.0,47850.0,50250.0,13650.0,15450.0
2016-12-15,11200.0,32450.0,113400.0,22550.0,40650.0,38900.0,47650.0,50650.0,13650.0,15400.0
2016-12-16,11200.0,32550.0,113400.0,22700.0,40550.0,39000.0,47700.0,51600.0,13650.0,15450.0
2016-12-17,11200.0,32550.0,113400.0,22700.0,40550.0,39000.0,47700.0,51600.0,13650.0,15450.0
2016-12-18,11200.0,32550.0,113400.0,22700.0,40550.0,39000.0,47700.0,51600.0,13650.0,15450.0
2016-12-19,11200.0,32950.0,114350.0,23300.0,39850.0,38650.0,47200.0,53500.0,13650.0,15450.0
2016-12-20,11200.0,33000.0,113800.0,23400.0,39800.0,38900.0,46450.0,53850.0,13650.0,15450.0
2016-12-21,11250.0,33350.0,113900.0,23750.0,39250.0,38950.0,46300.0,55300.0,13700.0,15400.0
2016-12-22,11200.0,33450.0,113850.0,23750.0,39150.0,38850.0,45500.0,56050.0,13700.0,15450.0
2016-12-23,11250.0,33500.0,113850.0,24000.0,39550.0,39050.0,45500.0,57000.0,13750.0,15450.0
2016-12-24,11250.0,33500.0,113850.0,24000.0,39550.0,39050.0,45500.0,57000.0,13750.0,15450.0
2016-12-25,11250.0,33500.0,113850.0,24000.0,39550.0,39050.0,45500.0,57000.0,13750.0,15450.0
2016-12-26,11250.0,33500.0,113850.0,24000.0,39550.0,39050.0,45500.0,57000.0,13750.0,15450.0
2016-12-27,11200.0,34000.0,114200.0,24050.0,38400.0,39450.0,42900.0,59000.0,13750.0,15450.0
2016-12-28,11200.0,34200.0,113950.0,24150.0,38200.0,39550.0,42500.0,61100.0,13750.0,15450.0
2016-12-29,11150.0,34200.0,113600.0,24100.0,38050.0,39450.0,42200.0,60950.0,13700.0,15500.0
2016-12-30,11200.0,34500.0,114200.0,24200.0,38150.0,39050.0,41800.0,61750.0,13750.0,15450.0
2016-12-31,11200.0,34500.0,114200.0,24200.0,38150.0,39050.0,41800.0,61750.0,13750.0,15450.0
2017-01-01,11200.0,34500.0,114200.0,24200.0,38150.0,39050.0,41800.0,61750.0,13750.0,15450.0
2017-01-02,11200.0,34500.0,114200.0,24200.0,38150.0,39050.0,41800.0,61750.0,13750.0,15450.0
2017-01-03,11200.0,34700.0,113750.0,23550.0,37300.0,39150.0,43050.0,65650.0,13700.0,15450.0
2017-01-04,11200.0,34550.0,113700.0,23350.0,37350.0,39400.0,42400.0,69750.0,13750.0,15450.0
2017-01-05,11200.0,34600.0,113450.0,23350.0,37000.0,39300.0,42000.0,73750.0,13750.0,15450.0
2017-01-06,11200.0,34650.0,113500.0,23200.0,37100.0,39400.0,42150.0,76050.0,13750.0,15450.0
2017-01-07,11200.0,34650.0,113500.0,23200.0,37100.0,39400.0,42150.0,76050.0,13750.0,15450.0
2017-01-08,11200.0,34650.0,113500.0,23200.0,37100.0,39400.0,42150.0,76050.0,13750.0,15450.0
2017-01-09,11200.0,34500.0,113500.0,22600.0,36700.0,38900.0,43800.0,74800.0,13800.0,15450.0
2017-01-10,11200.0,34400.0,113350.0,22500.0,36600.0,38950.0,45150.0,73350.0,13800.0,15450.0
2017-01-11,11200.0,34450.0,113350.0,22450.0,36350.0,39150.0,45250.0,72500.0,13800.0,15400.0
2017-01-12,11200.0,34600.0,113200.0,22400.0,36150.0,39050.0,44600.0,71800.0,13750.0,15400.0
2017-01-13,11200.0,34600.0,113200.0,22350.0,35850.0,39100.0,44300.0,72000.0,13800.0,15400.0
2017-01-14,11200.0,34600.0,113200.0,22350.0,35850.0,39100.0,44300.0,72000.0,13800.0,15400.0
2017-01-15,11200.0,34600.0,113200.0,22350.0,35850.0,39100.0,44300.0,72000.0,13800.0,15400.0
2017-01-16,11250.0,34500.0,113200.0,22300.0,35800.0,38750.0,42800.0,72200.0,13800.0,15400.0
2017-01-17,11250.0,34350.0,113200.0,22250.0,35800.0,38900.0,42700.0,73350.0,13800.0,15400.0
2017-01-18,11250.0,34400.0,113150.0,22250.0,35850.0,38900.0,42800.0,73150.0,13800.0,15400.0
2017-01-19,11250.0,34450.0,113200.0,22250.0,35650.0,38850.0,42950.0,74200.0,13800.0,15400.0
2017-01-20,11250.0,34250.0,113150.0,22200.0,35600.0,38850.0,42750.0,74400.0,13800.0,15400.0
2017-01-21,11250.0,34250.0,113150.0,22200.0,35600.0,38850.0,42750.0,74400.0,13800.0,15400.0
2017-01-22,11250.0,34250.0,113150.0,22200.0,35600.0,38850.0,42750.0,74400.0,13800.0,15400.0
2017-01-23,11250.0,33700.0,113100.0,22200.0,34850.0,38650.0,44050.0,76200.0,13800.0,15450.0
2017-01-24,11250.0,33300.0,113200.0,22050.0,34900.0,38600.0,44850.0,77450.0,13800.0,15400.0
2017-01-25,11250.0,33150.0,113000.0,22000.0,34800.0,38550.0,44400.0,77500.0,13800.0,15400.0
2017-01-26,11250.0,32850.0,113050.0,22050.0,34800.0,38500.0,44850.0,77550.0,13800.0,15400.0
2017-01-27,11250.0,32700.0,113050.0,22050.0,34500.0,38400.0,44550.0,77850.0,13800.0,15400.0
2017-01-28,11250.0,32700.0,113050.0,22050.0,34500.0,38400.0,44550.0,77850.0,13800.0,15400.0
2017-01-29,11250.0,32700.0,113050.0,22050.0,34500.0,38400.0,44550.0,77850.0,13800.0,15400.0
2017-01-30,11250.0,32200.0,113050.0,21950.0,34000.0,38450.0,45950.0,78700.0,13800.0,15400.0
2017-01-31,11250.0,32050.0,113050.0,22000.0,34050.0,38550.0,45800.0,79500.0,13800.0,15400.0
2017-02-01,11250.0,32000.0,113300.0,22000.0,34000.0,38500.0,46550.0,80250.0,13850.0,15400.0
2017-02-02,11250.0,31850.0,113050.0,21900.0,34250.0,38450.0,47050.0,80750.0,13900.0,15400.0
2017-02-03,11250.0,31850.0,112900.0,21850.0,34400.0,38500.0,46500.0,81400.0,13850.0,15400.0
2017-02-04,11250.0,31850.0,112900.0,21850.0,34400.0,38500.0,46500.0,81400.0,13850.0,15400.0
2017-02-05,11250.0,31850.0,112900.0,21850.0,34400.0,38500.0,46500.0,81400.0,13850.0,15400.0
2017-02-06,11250.0,31550.0,113250.0,21750.0,34650.0,38650.0,47500.0,85750.0,13900.0,15400.0
2017-02-07,11250.0,31400.0,113150.0,21750.0,34900.0,38700.0,47350.0,87450.0,13900.0,15400.0
2017-02-08,11250.0,31500.0,113150.0,21650.0,35100.0,38600.0,47500.0,88200.0,13900.0,15400.0
